Ligand,Binding Affinity,rmsd/ub, rmsd/lb
5iwg_cleaned_289_uff_E=55.42,-5.6,0.0,0.0
5iwg_cleaned_892_uff_E=156.51,-5.6,0.0,0.0
5iwg_cleaned_938_uff_E=58.73,-5.4,0.0,0.0
5iwg_cleaned_985_uff_E=57.46,-5.0,0.0,0.0
5iwg_cleaned_1054_uff_E=125.61,-4.6,0.0,0.0
5iwg_cleaned_1057_uff_E=62.72,-5.2,0.0,0.0
5iwg_cleaned_3764_uff_E=337.15,-6.5,0.0,0.0
5iwg_cleaned_4276_uff_E=330.81,-5.3,0.0,0.0
5iwg_cleaned_5997_uff_E=549.32,-7.4,0.0,0.0
5iwg_cleaned_6613_uff_E=133.81,-4.5,0.0,0.0
5iwg_cleaned_6989_uff_E=95.97,-5.3,0.0,0.0
5iwg_cleaned_7463_uff_E=91.91,-5.9,0.0,0.0
5iwg_cleaned_8174_uff_E=44.04,-4.2,0.0,0.0
5iwg_cleaned_8175_uff_E=34.10,-4.0,0.0,0.0
5iwg_cleaned_10248_uff_E=228.13,-5.2,0.0,0.0
5iwg_cleaned_10364_uff_E=78.47,-6.0,0.0,0.0
5iwg_cleaned_17697_uff_E=50.62,-4.6,0.0,0.0
5iwg_cleaned_79036_uff_E=108.75,-4.8,0.0,0.0
5iwg_cleaned_92759_uff_E=201.39,-5.8,0.0,0.0
5iwg_cleaned_99474_uff_E=741.60,-7.8,0.0,0.0
5iwg_cleaned_114776_uff_E=472.96,-7.6,0.0,0.0
5iwg_cleaned_114829_uff_E=185.86,-7.4,0.0,0.0
5iwg_cleaned_162350_uff_E=453.84,-7.2,0.0,0.0
5iwg_cleaned_171548_uff_E=328.21,-5.1,0.0,0.0
5iwg_cleaned_439246_uff_E=195.81,-7.3,0.0,0.0
5iwg_cleaned_441005_uff_E=241.83,-6.1,0.0,0.0
5iwg_cleaned_441900_uff_E=753.48,-7.6,0.0,0.0
5iwg_cleaned_442343_uff_E=218.81,-6.3,0.0,0.0
5iwg_cleaned_442428_uff_E=615.92,-8.4,0.0,0.0
5iwg_cleaned_444170_uff_E=1467.29,-8.3,0.0,0.0
5iwg_cleaned_493570_uff_E=317.94,-6.6,0.0,0.0
5iwg_cleaned_519857_uff_E=221.98,-6.5,0.0,0.0
5iwg_cleaned_638278_uff_E=312.87,-6.8,0.0,0.0
5iwg_cleaned_2773624_uff_E=102.68,-4.6,0.0,0.0
5iwg_cleaned_5280343_uff_E=380.43,-6.8,0.0,0.0
5iwg_cleaned_5280443_uff_E=233.26,-7.0,0.0,0.0
5iwg_cleaned_5280445_uff_E=242.10,-6.8,0.0,0.0
5iwg_cleaned_5280459_uff_E=587.34,-6.9,0.0,0.0
5iwg_cleaned_5280863_uff_E=362.50,-6.7,0.0,0.0
5iwg_cleaned_5283361_uff_E=38.25,-4.8,0.0,0.0
5iwg_cleaned_6429300_uff_E=512.64,-6.0,0.0,0.0
5iwg_cleaned_6432005_uff_E=264.33,-5.9,0.0,0.0
5iwg_cleaned_6857447_uff_E=255.66,-5.8,0.0,0.0
5iwg_cleaned_10398656_uff_E=220.84,-6.7,0.0,0.0
5iwg_cleaned_12267346_uff_E=156.43,-6.8,0.0,0.0
5iwg_cleaned_12306047_uff_E=224.98,-6.7,0.0,0.0
5iwg_cleaned_54670067_uff_E=200.65,-5.2,0.0,0.0
5iwg_cleaned_91753440_uff_E=234.14,-6.4,0.0,0.0
5iwg_cleaned_101422334_uff_E=527.08,-7.1,0.0,0.0
5iwg_cleaned_135398658_uff_E=289.04,-7.8,0.0,0.0
5iwg_cleaned_4261_uff_E=349.41,-9.5,0.0,0.0
5iwg_cleaned_5311_uff_E=163.61,-6.1,0.0,0.0
5iwg_cleaned_104775_uff_E=39.87,-4.0,0.0,0.0
5iwg_cleaned_444732_uff_E=222.07,-7.6,0.0,0.0
5iwg_cleaned_5352062_uff_E=553.03,-7.2,0.0,0.0
5iwg_cleaned_5353852_uff_E=728.01,-6.9,0.0,0.0
5iwg_cleaned_6445533_uff_E=479.99,-5.4,0.0,0.0
5iwg_cleaned_6918638_uff_E=592.04,-8.9,0.0,0.0
5iwg_cleaned_6918837_uff_E=454.67,-5.4,0.0,0.0
5iwg_cleaned_9800555_uff_E=356.53,-10.4,0.0,0.0
5iwg_cleaned_12136798_uff_E=359.23,-7.6,0.0,0.0
